time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:54:32.400,307.5,2.0,,,,
2020-06-30 12:54:32.433,,,,,1.0,75.0
2020-06-30 12:54:32.620,,,,,1.0,14.0
2020-06-30 12:54:33.089,,,,,1.0,51.0
2020-06-30 12:54:36.998,,,,24.031671746380947,,
2020-06-30 12:54:37.398,308.5,2.0,,,,
2020-06-30 12:54:41.298,,,40.10744137337039,,,
2020-06-30 12:54:41.998,,,,12.42594221463094,,
2020-06-30 12:54:42.398,308.5,2.0,,,,
2020-06-30 12:54:46.998,,,,12.42594221463094,,
2020-06-30 12:54:47.399,308.5,2.0,,,,
2020-06-30 12:54:51.998,,,,9.775033005009961,,
2020-06-30 12:54:52.399,308.5,2.0,,,,
2020-06-30 12:54:56.998,,,,9.775033005009961,,
2020-06-30 12:54:57.398,308.5,2.0,,,,
2020-06-30 12:55:01.998,,,,9.61403239989283,,
2020-06-30 12:55:02.398,7.0,2.0,,,,
2020-06-30 12:55:06.159,,,,,1.0,15.0
2020-06-30 12:55:16.998,,,,9.800306095059721,,
2020-06-30 12:55:17.484,6.5,2.0,,,,
2020-06-30 12:55:21.998,,,,9.79545233711499,,
2020-06-30 12:55:22.398,6.5,2.0,,,,
2020-06-30 12:55:26.998,,,,9.79545233711499,,
2020-06-30 12:55:27.398,6.5,2.0,,,,
2020-06-30 12:55:31.998,,,,9.774170140828,,
2020-06-30 12:55:32.961,5.0,2.0,,,,
2020-06-30 12:55:36.998,,,,9.774170140828,,
2020-06-30 12:55:37.848,0.0,2.0,,,,
2020-06-30 12:55:39.170,,,,,1.0,42.0
2020-06-30 12:55:39.203,,,,,1.0,28.0
2020-06-30 12:55:41.298,,,40.572074540970135,,,
2020-06-30 12:55:42.249,,,,9.04793360245918,,
2020-06-30 12:55:43.065,0.0,2.0,,,,
2020-06-30 12:55:46.998,,,,9.04793360245918,,
2020-06-30 12:55:47.412,0.0,2.0,,,,
2020-06-30 12:55:51.998,,,,9.16354150397581,,
2020-06-30 12:55:52.398,0.0,2.0,,,,
2020-06-30 12:55:56.998,,,,9.16354150397581,,
2020-06-30 12:55:57.398,0.0,2.0,,,,
2020-06-30 12:56:01.998,,,,9.17081006473332,,
